start city,stop city,distance
Asuncin,Helsinki,12010.992409849572
Asuncin,Hobart,12082.753333974195
Asuncin,Hong Kong,19096.6131647667
Asuncin,Iquique,1475.483209992791
Asuncin,Irkutsk,16627.427861681805
Asuncin,Jakarta,16126.451509812883
Asuncin,Johannesburg,8422.542397888557
Asuncin,Kingston,5184.182405652022
Asuncin,Kinshasa,8059.525475405409
Asuncin,Kuala Lumpur,16740.173334552703
Asuncin,La Paz,1496.2546463120907
Asuncin,Leeds,10270.44283065805
Asuncin,Lima,2543.111575720669
Asuncin,Lisbon,8631.122313594697
Asuncin,Liverpool,10171.590244713032
Asuncin,London,10156.165276859054
Asuncin,Lyons,10034.644760158037
Asuncin,Madrid,9169.75338577334
Asuncin,Manchester,10217.177797405007
Asuncin,Manila,18801.51136572385
Asuncin,Marseilles,9929.474141299994
Asuncin,Mazatln,7520.073751708785
Asuncin,Mecca,11653.3173687043
Asuncin,Melbourne,12686.716566701334
Asuncin,Mexico City,6733.5596688145815
Asuncin,Milan,10316.0894590996
Asuncin,Montevideo,1050.8147657671668
Asuncin,Moscow,12582.155179332893
Asuncin,Munich,10672.54223800712
Asuncin,Nagasaki,18960.79342633518
Asuncin,Nagoya,18244.521957826546
Asuncin,Nairobi,10349.05567151678
Asuncin,Nanjing (Nanking),19132.724293776097
Asuncin,Naples,10381.62307780486
Asuncin,New Delhi,15516.246938014763
Asuncin,Newcastle-on-Tyne,10349.874499136587
Asuncin,Odessa,11845.55891936147
Asuncin,Osaka,18428.556228221216
Asuncin,Oslo,11250.81995821981
Asuncin,Panama City,4440.153255772439
Asuncin,Paramaribo,3412.320513994694
Asuncin,Paris,10103.47883441375
Asuncin,Perth,13667.687324094793
Asuncin,Plymouth,9867.926957195492
Asuncin,Port Moresby,15320.632458956661
Asuncin,Prague,10949.384416840056
Asuncin,Rangoon,17099.957694198052
Asuncin,Reykjavk,10432.39659083036
Asuncin,Rio de Janeiro,1479.892488411256
Asuncin,Rome,10306.722668705705
Asuncin,Salvador,2447.398820050205
